City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,Wanning,CN,80.04,scattered clouds,18.8003,110.3967,Paradise Hotel
184,Saint Anthony,US,88.18,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
185,Geraldton,AU,57.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
186,Zheleznodorozhnyy,RU,72.14,broken clouds,55.7503,38.0042,Hotel Dali
187,Moerai,PF,72.34,broken clouds,-22.4333,-151.3333,Le Manotel
188,Thinadhoo,MV,82.4,overcast clouds,0.5333,72.9333,
191,Pingliang,CN,62.46,broken clouds,35.5392,106.6861,North Gate Hostel
192,Sebinkarahisar,TR,58.19,overcast clouds,40.2883,38.4236,Sebinkarahisar Ogretmenevi
193,Flinders,AU,58.17,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
196,Chirongui,YT,73.33,clear sky,-12.9319,45.1483,La Villa Mahatsara
197,Shitanjing,CN,67.69,broken clouds,39.2342,106.3439,
198,Samarai,PG,78.35,broken clouds,-10.6167,150.6667,Nuli Sapi
199,Mackenzie,CA,71.82,broken clouds,55.2999,-123.1698,Hilton Shop
200,Arcata,US,73.2,scattered clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
201,Itarema,BR,78.96,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
203,Port Elizabeth,ZA,57.49,scattered clouds,-33.918,25.5701,39 On Nile Guest House
204,Najran,SA,88.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
205,Charters Towers,AU,61.09,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
207,Omutninsk,RU,57.83,overcast clouds,58.67,52.1932,"Hotel ""Road"""
209,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
210,Pisco,PE,66.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
213,Ballina,AU,54.79,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
