City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
95,Ponta Delgada,PT,37.7333,-25.6667,74.12,88,40,6.91,scattered clouds,0.0,0
96,Carnarvon,AU,-24.8667,113.6333,57.27,53,75,5.75,broken clouds,0.0,0
97,Bacalar,MX,18.6667,-88.3833,87.73,58,49,7.76,scattered clouds,0.0,0
98,Kavaratti,IN,10.5669,72.642,80.51,81,94,18.28,overcast clouds,0.0,0
99,Karratha,AU,-20.7377,116.8463,71.82,58,82,13.96,broken clouds,0.0,0
100,Ahipara,NZ,-35.1667,173.1667,52.52,75,13,4.97,few clouds,0.0,0
101,Avarua,CK,-21.2078,-159.775,75.25,69,75,11.5,broken clouds,0.0,0
102,Kaitangata,NZ,-46.2817,169.8464,44.64,78,100,6.08,moderate rain,1.43,0
103,Coquimbo,CL,-29.9533,-71.3436,58.73,67,0,12.66,clear sky,0.0,0
104,Portland,US,45.5234,-122.6762,97.95,40,20,5.01,few clouds,0.0,0
105,Jega,NG,12.2175,4.3792,79.38,75,84,6.35,light rain,0.19,0
106,Kapaa,US,22.0752,-159.319,82.72,71,75,3.0,light rain,0.26,0
107,Bengkulu,ID,-3.8004,102.2655,74.48,88,88,3.31,overcast clouds,0.0,0
108,Ushuaia,AR,-54.8,-68.3,49.66,57,20,4.61,few clouds,0.0,0
109,Dargaville,NZ,-35.9333,173.8833,53.1,71,37,5.32,scattered clouds,0.0,0
110,Ust-Maya,RU,60.4167,134.5333,63.97,89,99,3.18,overcast clouds,0.0,0
111,Karpathos,GR,35.507,27.2132,76.06,75,0,14.38,clear sky,0.0,0
112,Dunedin,NZ,-45.8742,170.5036,52.48,59,84,16.2,broken clouds,0.0,0
113,Benjamin Hill,MX,30.1667,-111.1,90.28,44,72,1.57,broken clouds,0.0,0
114,Krasnoye,UA,49.9145,24.6134,70.95,84,67,0.51,broken clouds,0.0,0
115,Dauphin,CA,51.1494,-100.0502,86.14,35,1,4.61,clear sky,0.0,0
116,Aksu,CN,41.1231,80.2644,67.78,45,71,8.03,broken clouds,0.0,0
117,Awjilah,LY,29.1081,21.2869,85.35,41,0,18.88,clear sky,0.0,0
118,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,93,0,6.71,clear sky,0.0,0
119,Sawakin,SD,19.1059,37.3321,92.62,47,100,5.77,overcast clouds,0.0,0
120,Bilibino,RU,68.0546,166.4372,40.78,92,100,2.46,light rain,0.1,0
121,Alofi,NU,-19.0595,-169.9187,73.29,78,99,14.97,overcast clouds,0.0,0
122,Mahebourg,MU,-20.4081,57.7,68.29,68,40,12.66,light rain,0.11,0
123,Iqaluit,CA,63.7506,-68.5145,46.13,87,90,4.61,shower rain,0.0,0
124,Kloulklubed,PW,7.0419,134.2556,84.13,73,51,9.98,broken clouds,0.0,0
125,Severo-Kurilsk,RU,50.6789,156.125,55.92,87,27,13.0,scattered clouds,0.0,0
126,Katsuura,JP,35.1333,140.3,68.11,95,100,13.27,overcast clouds,0.0,0
127,Moyale,KE,3.5167,39.0584,72.54,53,100,11.1,overcast clouds,0.0,0
128,Wenling,CN,28.3669,121.36,79.88,93,100,9.04,overcast clouds,0.0,0
129,Batamshinskiy,KZ,50.5594,58.2747,67.98,23,19,3.18,few clouds,0.0,0
130,Thompson,CA,55.7435,-97.8558,77.16,36,40,24.16,scattered clouds,0.0,0
131,Tezu,IN,27.9167,96.1667,76.28,95,100,2.77,overcast clouds,0.0,0
132,Sladkovicovo,SK,48.2014,17.6385,78.89,60,100,4.27,overcast clouds,0.0,0
133,Chokurdakh,RU,70.6333,147.9167,41.23,68,69,9.37,broken clouds,0.0,0
134,Sao Filipe,CV,14.8961,-24.4956,76.91,82,95,1.61,overcast clouds,0.0,0
135,Ponta Do Sol,PT,32.6667,-17.1,84.83,54,4,5.68,clear sky,0.0,0
136,Bethel,US,41.3712,-73.414,83.46,50,1,4.61,clear sky,0.0,0
137,Schio,IT,45.7124,11.3574,80.87,71,2,3.78,clear sky,0.0,0
138,Sayville,US,40.7359,-73.0821,84.56,55,75,3.0,broken clouds,0.0,0
139,Ancud,CL,-41.8697,-73.8203,49.23,91,100,25.01,light rain,0.78,0
140,Dwarka,IN,22.2394,68.9678,81.1,78,99,15.61,overcast clouds,0.0,0
141,Bathsheba,BB,13.2167,-59.5167,88.41,70,20,14.97,few clouds,0.0,0
142,Brae,GB,60.3964,-1.353,48.11,75,100,14.61,overcast clouds,0.0,0
143,Sirjan,IR,29.452,55.6814,82.63,23,2,11.34,clear sky,0.0,0
144,Fortuna,US,40.5982,-124.1573,73.92,75,20,3.0,few clouds,0.0,0
145,Kodiak,US,57.79,-152.4072,62.11,48,1,8.05,clear sky,0.0,0
146,Georgetown,MY,5.4112,100.3354,78.89,90,20,0.0,light rain,0.65,0
147,Hithadhoo,MV,-0.6,73.0833,82.89,69,100,16.46,overcast clouds,0.0,0
148,Waitati,NZ,-45.75,170.5667,51.17,60,90,10.51,overcast clouds,0.0,0
149,Ostrovnoy,RU,68.0531,39.5131,54.09,97,100,6.2,overcast clouds,0.0,0
150,Syedove,UA,47.0768,38.156,72.61,83,49,7.4,scattered clouds,0.0,0
151,Tsaratanana,MG,-16.7833,47.65,63.19,70,0,11.77,clear sky,0.0,0
152,Namibe,AO,-15.1961,12.1522,65.75,92,14,6.67,few clouds,0.0,0
153,Limenaria,GR,40.6261,24.5786,78.94,54,0,5.21,clear sky,0.0,0
154,Port Hedland,AU,-20.3167,118.5667,66.25,48,6,6.91,clear sky,0.0,0
155,Saint Stephen,GB,50.3333,-4.9,62.38,94,75,12.66,broken clouds,0.0,0
